country,firstname,lastname,country_code
United Arab Emirates,Sheikh,Khalifa bin Zayed Al Nahyan,ARE
United Kingdom,Elizabeth,II,GBR
United States,Donald,Trump,USA
Uruguay,Tabare,Vazquez,URY
Uzbekistan,Shavkat,Mirziyoyev,UZB
Vanuatu,Tallis,Obed Moses,VUT
Holy See (Vatican City State),Pope,Francis,VAT
"Venezuela, Bolivarian Republic of",Nicolas,Maduro,VEN
Viet Nam,Nguyen,Phu Trong,VNM
,,,
Yemen,Abdrabbuh,Mansur Hadi,YEM
Zambia,Edgar,Lungu,ZMB
Zimbabwe,Emmerson,Mnangagwa,ZWE
